gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU
T,chess,Inner,Low,-1,-1,Low,-1,-1,High,-1,-1,-1,-1,Low
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,-1,-1,-1,Low
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,-1,-1,-1,Low
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,-1,-1,-1,Low
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,-1,-1,-1,Low
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,-1,-1,-1,Low
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,-1,-1,-1,Low
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,High,-1,-1,-1,Low
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,Medium,-1,High,High
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,Medium,-1,High,High
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,Medium,-1,High,High
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,Medium,-1,High,High
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,Medium,-1,High,High
T,chess,Inner,Low,-1,-1,Low,-1,-1,Medium,-1,Medium,High,-1,High
T,chess,Inner,Low,-1,-1,Low,-1,-1,Medium,-1,Medium,High,-1,High
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,Medium,Medium,-1,High,High
N,chess,Inner,-1,Low,-1,-1,-1,-1,Low,Low,High,Medium,-1,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,High,Low,Low,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,High,-1,Medium,Medium
T,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,High,Low,Low,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,High,-1,Medium,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,Low,Low,High,Low,Low,Medium
N,chess,Inner,Low,-1,-1,-1,-1,-1,Low,Low,High,Low,Low,Medium
N,chess,Inner,-1,Low,-1,-1,-1,-1,-1,Medium,High,-1,Medium,Medium
N,chess,Inner,-1,Medium,-1,-1,Low,-1,-1,High,High,-1,High,Medium
N,chess,Inner,-1,Medium,-1,-1,Low,-1,-1,High,High,-1,High,Medium
N,chess,Inner,-1,Medium,-1,-1,Low,-1,-1,High,High,-1,High,Medium
N,chess,Inner,-1,Medium,-1,-1,Low,-1,-1,High,High,-1,High,Medium
N,chess,Inner,-1,Medium,-1,-1,Low,-1,-1,High,High,-1,High,Medium
T,chess,Inner,Low,Low,-1,Low,-1,-1,High,-1,High,High,-1,Medium
T,chess,Inner,Medium,-1,-1,Low,-1,-1,High,-1,High,High,-1,Medium
N,chess,Inner,-1,Medium,-1,-1,Low,-1,-1,High,High,-1,High,Medium
