gold,Program,MethodType,RequirementID,MethodID,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,classGold
T,chess,Inner,1,1,1,0,0,1,0,0,1,0,0,0,0,1,Trace
N,chess,Inner,2,1,0,1,0,0,1,0,0,1,0,0,0,1,NoTrace
N,chess,Inner,3,1,0,1,0,0,1,0,0,1,0,0,0,1,NoTrace
N,chess,Inner,4,1,0,1,0,0,1,0,0,1,0,0,0,1,Trace
N,chess,Inner,5,1,0,1,0,0,1,0,0,1,0,0,0,1,NoTrace
N,chess,Inner,6,1,0,1,0,0,1,0,0,1,0,0,0,1,Trace
N,chess,Inner,7,1,0,1,0,0,1,0,0,1,0,0,0,1,Trace
N,chess,Inner,8,1,0,1,0,0,1,0,0,1,0,0,0,1,NoTrace
N,chess,Inner,1,3,0,1,0,0,1,0,0,1,1,0,1,1,Trace
N,chess,Inner,2,3,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,3,3,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,4,3,0,1,0,0,1,0,0,1,1,0,1,1,Trace
N,chess,Inner,5,3,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
T,chess,Inner,6,3,1,0,0,1,0,0,1,0,1,1,0,1,Trace
T,chess,Inner,7,3,1,0,0,1,0,0,1,0,1,1,0,1,Trace
N,chess,Inner,8,3,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,1,4,0,1,0,0,0,0,1,1,1,1,0,1,Trace
N,chess,Inner,2,4,0,1,0,0,0,0,0,1,1,1,1,1,NoTrace
N,chess,Inner,3,4,0,1,0,0,0,0,0,1,1,0,1,1,NoTrace
T,chess,Inner,4,4,0,1,0,0,0,0,0,1,1,1,1,1,Trace
N,chess,Inner,5,4,0,1,0,0,0,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,6,4,0,1,0,0,0,0,1,1,1,1,1,1,Trace
N,chess,Inner,7,4,1,0,0,0,0,0,1,1,1,1,1,1,Trace
N,chess,Inner,8,4,0,1,0,0,0,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,1,5,0,1,0,0,1,0,0,1,1,0,1,1,Trace
N,chess,Inner,2,5,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,3,5,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,4,5,0,1,0,0,1,0,0,1,1,0,1,1,Trace
N,chess,Inner,5,5,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
T,chess,Inner,6,5,1,1,0,1,0,0,1,0,1,1,0,1,Trace
T,chess,Inner,7,5,1,0,0,1,0,0,1,0,1,1,0,1,Trace
N,chess,Inner,8,5,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace
N,chess,Inner,1,6,0,1,0,0,1,0,0,1,1,0,0,0,Trace
N,chess,Inner,2,6,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace
N,chess,Inner,3,6,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace
N,chess,Inner,4,6,0,1,0,0,1,0,0,1,1,0,0,0,Trace
N,chess,Inner,5,6,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace
T,chess,Inner,6,6,1,0,0,1,1,0,1,0,1,0,0,0,Trace
T,chess,Inner,7,6,1,0,0,1,0,0,1,0,1,0,0,0,Trace
N,chess,Inner,8,6,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace
N,chess,Leaf,1,7,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,7,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,7,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,7,1,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,7,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,6,7,1,1,0,1,1,0,0,0,0,0,0,0,Trace
T,chess,Leaf,7,7,1,1,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,7,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,1,8,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,8,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,8,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,8,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,8,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,6,8,1,1,0,1,0,0,0,0,0,0,0,0,Trace
T,chess,Leaf,7,8,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,8,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,1,9,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,9,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,9,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,9,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,9,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,6,9,1,0,0,1,1,0,0,0,0,0,0,0,Trace
T,chess,Leaf,7,9,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,9,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,1,10,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,10,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,10,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,10,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,10,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,6,10,1,0,0,1,1,0,0,0,0,0,0,0,Trace
T,chess,Leaf,7,10,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,10,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,1,11,0,1,1,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,11,0,1,1,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,11,0,1,1,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,11,0,1,1,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,11,0,1,1,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,6,11,1,0,1,1,1,0,0,0,0,0,0,0,Trace
T,chess,Leaf,7,11,1,0,1,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,11,0,1,1,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,1,12,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,12,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,12,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,12,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,12,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,6,12,1,0,0,1,1,0,0,0,0,0,0,0,Trace
T,chess,Leaf,7,12,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,12,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,1,13,1,0,0,0,0,1,0,0,0,0,0,0,Trace
N,chess,Leaf,2,13,0,1,0,0,0,1,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,13,0,1,0,0,0,1,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,13,0,1,0,0,0,1,0,0,0,0,0,0,Trace
N,chess,Leaf,5,13,0,1,0,0,0,1,0,0,0,0,0,0,NoTrace
N,chess,Leaf,6,13,0,1,0,0,0,1,0,0,0,0,0,0,Trace
N,chess,Leaf,7,13,0,1,0,0,0,1,0,0,0,0,0,0,Trace
N,chess,Leaf,8,13,0,1,0,0,0,1,0,0,0,0,0,0,NoTrace
T,chess,Leaf,1,14,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,14,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,3,14,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,4,14,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,5,14,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
N,chess,Leaf,6,14,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,7,14,0,1,0,0,1,0,0,0,0,0,0,0,Trace
N,chess,Leaf,8,14,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
T,chess,Leaf,1,15,1,0,0,1,0,0,0,0,0,0,0,0,Trace
N,chess,Leaf,2,15,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace
