gold,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU
T,Inner,0,0,1,0,0,0,0,0,1,0,0,0
T,Inner,1,0,0,1,1,0,1,1,1,1,0,1
T,Inner,1,0,1,1,1,1,1,1,1,1,1,1
T,Inner,1,0,0,1,0,1,0,1,0,0,1,1
T,Inner,1,0,1,1,0,1,0,1,1,0,0,0
T,Inner,0,0,1,0,0,1,0,0,1,1,0,0
T,Inner,0,0,1,0,0,1,0,1,1,0,0,0
T,Inner,1,0,0,0,0,1,1,0,0,0,0,1
T,Inner,1,1,1,0,1,1,0,0,1,0,0,1
T,Inner,1,0,0,0,0,0,1,0,1,0,0,1
T,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
T,Leaf,0,0,0,0,0,0,0,0,0,0,0,0
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,0,0,1,1,1,1,0,1
N,Inner,0,1,0,0,0,0,0,1,1,1,1,1
N,Inner,0,1,0,0,0,0,0,1,1,0,1,1
N,Inner,0,1,0,0,0,0,0,1,1,0,1,1
N,Inner,0,1,0,0,0,0,1,1,1,1,1,1
N,Inner,1,0,0,0,0,0,1,1,1,1,1,1
N,Inner,0,1,0,0,0,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,1,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,1,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,0,1,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0
N,Inner,0,1,0,0,1,0,0,0,1,0,0,0
N,Inner,0,1,0,0,1,0,0,0,1,0,0,0
N,Inner,0,1,0,0,1,0,0,0,1,0,0,0
