gold,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,classGold,VariableTraceValue
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1,Trace,T
N,Inner,0,1,0,0,1,0,0,1,0,0,0,1,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,Trace,x
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,x
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,x
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,Trace,x
T,Inner,0,1,0,0,1,0,1,1,1,1,1,1,Trace,x
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,x
N,Inner,0,1,0,0,0,0,0,1,1,1,1,1,NoTrace,N
N,Inner,0,1,0,0,0,0,0,1,1,0,1,1,NoTrace,N
T,Inner,0,1,0,0,0,0,0,1,1,1,1,1,Trace,N
N,Inner,0,1,0,0,0,0,1,1,1,1,1,1,Trace,N
N,Inner,1,0,0,0,0,0,1,1,1,0,1,1,Trace,N
N,Inner,0,1,0,0,0,0,0,1,1,0,1,1,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,Trace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,Trace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,1,1,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,Trace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,Trace,N
N,Inner,0,1,0,0,1,0,0,1,1,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,1,1,0,0,1,0,0,0,0,0,0,0,Trace,N
T,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,T
T,Leaf,0,1,0,1,0,0,0,0,0,0,0,0,Trace,T
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,NoTrace,N
N,Leaf,0,1,0,0,1,0,0,0,0,0,0,0,Trace,N
