clazz,RequirementT,RequirementN,RequirementU
1,4,4,0
2,0,0,8
3,2,6,0
4,1,7,0
5,1,7,0
6,1,7,0
7,1,7,0
8,1,7,0
9,3,5,0
10,3,5,0
11,0,0,8
12,5,3,0
13,0,0,8
14,0,0,8
15,0,0,8
16,0,0,8
17,0,0,8
18,0,0,8
19,0,0,8
20,0,0,8
21,4,4,0
22,0,0,8
23,0,0,8
24,6,2,0
25,4,4,0
26,0,0,8
27,0,0,8
28,2,6,0
29,5,3,0
30,2,6,0
31,0,0,8
32,3,5,0
33,1,7,0
34,5,3,0
35,0,0,8
36,0,0,8
37,0,0,8
38,0,0,8
39,0,0,8
40,0,0,8
41,0,0,8
42,0,0,8
43,0,0,8
44,0,0,8
45,0,0,8
46,0,0,8
47,0,0,8
48,0,0,8
49,0,0,8
50,0,0,8
51,2,6,0
52,3,5,0
53,0,0,8
54,1,7,0
55,0,0,8
56,3,5,0
57,0,0,8
58,3,5,0
59,3,5,0
60,0,0,8
61,1,7,0
62,1,7,0
63,1,7,0
64,3,5,0
65,0,0,8
66,3,5,0
67,0,0,8
68,4,4,0
69,0,0,8
70,0,0,8
71,0,0,8
72,0,0,8
73,0,0,8
74,0,0,8
75,0,0,8
76,0,0,8
77,0,0,8
78,0,0,8
79,0,0,8
80,0,0,8
81,5,3,0
82,0,0,8
83,1,7,0
84,1,7,0
85,4,4,0
86,1,7,0
87,4,4,0
88,0,0,8
89,3,5,0
90,5,3,0
91,1,7,0
92,4,4,0
93,1,7,0
94,4,4,0
95,3,5,0
96,3,5,0
97,5,3,0
98,0,0,8
99,0,0,8
100,0,0,8
101,1,7,0
102,0,0,8
103,0,0,8
104,3,5,0
