method,RequirementT,RequirementN,RequirementU
1,1,7,0
2,0,0,8
3,2,6,0
4,1,7,0
5,2,6,0
6,2,6,0
7,2,6,0
8,2,6,0
9,2,6,0
10,2,6,0
11,2,6,0
12,2,6,0
13,1,7,0
14,1,7,0
15,1,7,0
16,1,7,0
17,1,7,0
18,1,7,0
19,1,7,0
20,0,0,8
21,0,0,8
22,2,6,0
23,1,7,0
24,1,7,0
25,0,0,8
26,2,6,0
27,1,7,0
28,1,7,0
29,1,7,0
30,1,7,0
31,1,7,0
32,1,7,0
33,1,7,0
34,1,7,0
35,1,7,0
36,1,7,0
37,0,0,8
38,1,7,0
39,0,0,8
40,1,7,0
41,0,0,8
42,1,7,0
43,1,7,0
44,1,7,0
45,1,7,0
46,0,0,8
47,1,7,0
48,0,0,8
49,1,7,0
50,1,7,0
51,0,0,8
52,2,6,0
53,1,7,0
54,2,6,0
55,2,6,0
56,0,0,8
57,0,0,8
58,0,0,8
59,0,0,8
60,1,7,0
61,2,6,0
62,2,6,0
63,0,0,8
64,2,6,0
65,2,6,0
66,0,0,8
67,2,6,0
68,5,3,0
69,2,6,0
70,5,3,0
71,5,3,0
72,0,0,8
73,0,0,8
74,0,0,8
75,0,0,8
76,0,0,8
77,0,0,8
78,0,0,8
79,0,0,8
80,0,0,8
81,0,0,8
82,0,0,8
83,0,0,8
84,0,0,8
85,0,0,8
86,0,0,8
87,0,0,8
88,0,0,8
89,0,0,8
90,0,0,8
91,0,0,8
92,0,0,8
93,0,0,8
94,0,0,8
95,0,0,8
96,0,0,8
97,0,0,8
98,0,0,8
99,0,0,8
100,0,0,8
101,0,0,8
102,0,0,8
103,0,0,8
104,0,0,8
105,0,0,8
106,0,0,8
107,0,0,8
108,0,0,8
109,0,0,8
110,0,0,8
111,0,0,8
112,0,0,8
113,0,0,8
114,0,0,8
115,0,0,8
116,0,0,8
117,0,0,8
118,0,0,8
119,0,0,8
120,0,0,8
121,0,0,8
122,0,0,8
123,0,0,8
124,1,7,0
125,1,7,0
126,1,7,0
127,2,6,0
128,1,7,0
129,2,6,0
130,2,6,0
131,2,6,0
132,2,6,0
133,2,6,0
134,1,7,0
135,2,6,0
136,1,7,0
137,0,0,8
138,0,0,8
139,0,0,8
140,0,0,8
141,0,0,8
142,0,0,8
143,0,0,8
144,0,0,8
145,0,0,8
146,0,0,8
147,0,0,8
148,0,0,8
149,0,0,8
150,0,0,8
151,0,0,8
152,0,0,8
153,1,7,0
154,0,0,8
155,2,6,0
156,1,7,0
157,0,0,8
158,1,7,0
159,2,6,0
160,1,7,0
161,0,0,8
162,1,7,0
163,2,6,0
164,2,6,0
165,2,6,0
166,1,7,0
167,2,6,0
168,1,7,0
169,1,7,0
170,1,7,0
171,2,6,0
172,1,7,0
173,1,7,0
174,2,6,0
175,2,6,0
176,1,7,0
177,1,7,0
178,2,6,0
179,1,7,0
180,2,6,0
181,1,7,0
182,2,6,0
183,2,6,0
184,2,6,0
185,3,5,0
186,1,7,0
187,1,7,0
188,1,7,0
189,0,0,8
190,1,7,0
191,1,7,0
192,1,7,0
193,1,7,0
194,1,7,0
195,2,6,0
196,1,7,0
197,1,7,0
198,2,6,0
199,1,7,0
200,2,6,0
201,2,6,0
202,3,5,0
203,2,6,0
204,2,6,0
205,2,6,0
206,2,6,0
207,0,0,8
208,2,6,0
209,2,6,0
210,2,6,0
211,1,7,0
212,2,6,0
213,2,6,0
214,2,6,0
215,2,6,0
216,2,6,0
217,2,6,0
218,2,6,0
219,2,6,0
220,2,6,0
221,0,0,8
222,2,6,0
223,2,6,0
224,2,6,0
225,2,6,0
226,1,7,0
227,2,6,0
228,2,6,0
229,2,6,0
230,2,6,0
231,2,6,0
232,2,6,0
233,1,7,0
234,2,6,0
235,2,6,0
236,2,6,0
237,2,6,0
238,2,6,0
239,1,7,0
240,0,0,8
241,0,0,8
242,0,0,8
243,0,0,8
