gold,Program,MethodType,RequirementID,MethodID,classGold,VariableTraceValue
T,chess,Inner,1,1,Trace,T
N,chess,Inner,2,1,NoTrace,N
N,chess,Inner,3,1,NoTrace,N
N,chess,Inner,4,1,Trace,N
N,chess,Inner,5,1,NoTrace,N
N,chess,Inner,6,1,Trace,T
N,chess,Inner,7,1,Trace,T
N,chess,Inner,8,1,NoTrace,N
N,chess,Inner,1,3,Trace,U
N,chess,Inner,2,3,NoTrace,U
N,chess,Inner,3,3,NoTrace,U
N,chess,Inner,4,3,Trace,U
N,chess,Inner,5,3,NoTrace,U
T,chess,Inner,6,3,Trace,U
T,chess,Inner,7,3,Trace,U
N,chess,Inner,8,3,NoTrace,U
N,chess,Inner,1,4,Trace,T
N,chess,Inner,2,4,NoTrace,T
N,chess,Inner,3,4,NoTrace,N
T,chess,Inner,4,4,Trace,T
N,chess,Inner,5,4,NoTrace,N
N,chess,Inner,6,4,Trace,T
N,chess,Inner,7,4,Trace,T
N,chess,Inner,8,4,NoTrace,N
N,chess,Inner,1,5,Trace,T
N,chess,Inner,2,5,NoTrace,N
N,chess,Inner,3,5,NoTrace,N
N,chess,Inner,4,5,Trace,N
N,chess,Inner,5,5,NoTrace,N
T,chess,Inner,6,5,Trace,T
T,chess,Inner,7,5,Trace,T
N,chess,Inner,8,5,NoTrace,N
N,chess,Inner,1,6,Trace,T
N,chess,Inner,2,6,NoTrace,N
N,chess,Inner,3,6,NoTrace,N
N,chess,Inner,4,6,Trace,N
N,chess,Inner,5,6,NoTrace,N
T,chess,Inner,6,6,Trace,T
T,chess,Inner,7,6,Trace,T
N,chess,Inner,8,6,NoTrace,N
N,chess,Leaf,1,7,Trace,T
N,chess,Leaf,2,7,NoTrace,N
N,chess,Leaf,3,7,NoTrace,N
N,chess,Leaf,4,7,Trace,N
N,chess,Leaf,5,7,NoTrace,N
T,chess,Leaf,6,7,Trace,T
T,chess,Leaf,7,7,Trace,T
N,chess,Leaf,8,7,NoTrace,N
N,chess,Leaf,1,8,Trace,T
N,chess,Leaf,2,8,NoTrace,N
N,chess,Leaf,3,8,NoTrace,N
N,chess,Leaf,4,8,Trace,N
N,chess,Leaf,5,8,NoTrace,N
T,chess,Leaf,6,8,Trace,T
T,chess,Leaf,7,8,Trace,T
N,chess,Leaf,8,8,NoTrace,N
N,chess,Leaf,1,9,Trace,T
N,chess,Leaf,2,9,NoTrace,N
N,chess,Leaf,3,9,NoTrace,N
N,chess,Leaf,4,9,Trace,T
N,chess,Leaf,5,9,NoTrace,N
T,chess,Leaf,6,9,Trace,T
T,chess,Leaf,7,9,Trace,T
N,chess,Leaf,8,9,NoTrace,N
N,chess,Leaf,1,10,Trace,T
N,chess,Leaf,2,10,NoTrace,N
N,chess,Leaf,3,10,NoTrace,N
N,chess,Leaf,4,10,Trace,N
N,chess,Leaf,5,10,NoTrace,N
T,chess,Leaf,6,10,Trace,T
T,chess,Leaf,7,10,Trace,T
N,chess,Leaf,8,10,NoTrace,N
N,chess,Leaf,1,11,Trace,T
N,chess,Leaf,2,11,NoTrace,N
N,chess,Leaf,3,11,NoTrace,N
N,chess,Leaf,4,11,Trace,N
N,chess,Leaf,5,11,NoTrace,N
T,chess,Leaf,6,11,Trace,T
T,chess,Leaf,7,11,Trace,T
N,chess,Leaf,8,11,NoTrace,N
N,chess,Leaf,1,12,Trace,T
N,chess,Leaf,2,12,NoTrace,N
N,chess,Leaf,3,12,NoTrace,N
N,chess,Leaf,4,12,Trace,N
N,chess,Leaf,5,12,NoTrace,N
T,chess,Leaf,6,12,Trace,T
T,chess,Leaf,7,12,Trace,T
N,chess,Leaf,8,12,NoTrace,N
T,chess,Leaf,1,13,Trace,T
N,chess,Leaf,2,13,NoTrace,N
N,chess,Leaf,3,13,NoTrace,N
N,chess,Leaf,4,13,Trace,N
N,chess,Leaf,5,13,NoTrace,N
N,chess,Leaf,6,13,Trace,T
N,chess,Leaf,7,13,Trace,T
N,chess,Leaf,8,13,NoTrace,N
T,chess,Leaf,1,14,Trace,T
N,chess,Leaf,2,14,NoTrace,N
N,chess,Leaf,3,14,NoTrace,N
N,chess,Leaf,4,14,Trace,N
N,chess,Leaf,5,14,NoTrace,N
N,chess,Leaf,6,14,Trace,T
N,chess,Leaf,7,14,Trace,T
N,chess,Leaf,8,14,NoTrace,N
T,chess,Leaf,1,15,Trace,T
N,chess,Leaf,2,15,NoTrace,N
N,chess,Leaf,3,15,NoTrace,N
N,chess,Leaf,4,15,Trace,N
N,chess,Leaf,5,15,NoTrace,N
N,chess,Leaf,6,15,Trace,T
N,chess,Leaf,7,15,Trace,T
N,chess,Leaf,8,15,NoTrace,N
T,chess,Leaf,1,16,Trace,T
N,chess,Leaf,2,16,NoTrace,N
N,chess,Leaf,3,16,NoTrace,N
N,chess,Leaf,4,16,Trace,T
N,chess,Leaf,5,16,NoTrace,N
N,chess,Leaf,6,16,Trace,T
N,chess,Leaf,7,16,Trace,T
N,chess,Leaf,8,16,NoTrace,N
T,chess,Leaf,1,17,Trace,T
N,chess,Leaf,2,17,NoTrace,N
N,chess,Leaf,3,17,NoTrace,N
N,chess,Leaf,4,17,Trace,N
N,chess,Leaf,5,17,NoTrace,N
N,chess,Leaf,6,17,Trace,T
N,chess,Leaf,7,17,Trace,T
N,chess,Leaf,8,17,NoTrace,N
T,chess,Inner,1,18,Trace,T
N,chess,Inner,2,18,NoTrace,N
N,chess,Inner,3,18,NoTrace,N
N,chess,Inner,4,18,Trace,N
N,chess,Inner,5,18,NoTrace,N
N,chess,Inner,6,18,Trace,T
N,chess,Inner,7,18,Trace,T
N,chess,Inner,8,18,NoTrace,N
T,chess,Leaf,1,19,Trace,T
N,chess,Leaf,2,19,NoTrace,N
N,chess,Leaf,3,19,NoTrace,N
N,chess,Leaf,4,19,Trace,N
N,chess,Leaf,5,19,NoTrace,N
N,chess,Leaf,6,19,Trace,T
N,chess,Leaf,7,19,Trace,T
N,chess,Leaf,8,19,NoTrace,N
N,chess,Inner,1,22,Trace,T
N,chess,Inner,2,22,NoTrace,N
N,chess,Inner,3,22,NoTrace,N
N,chess,Inner,4,22,Trace,N
N,chess,Inner,5,22,NoTrace,N
T,chess,Inner,6,22,Trace,T
T,chess,Inner,7,22,Trace,T
N,chess,Inner,8,22,NoTrace,N
N,chess,Root,1,23,Trace,T
N,chess,Root,2,23,NoTrace,N
N,chess,Root,3,23,NoTrace,N
N,chess,Root,4,23,Trace,N
N,chess,Root,5,23,NoTrace,N
N,chess,Root,6,23,Trace,T
T,chess,Root,7,23,Trace,T
N,chess,Root,8,23,NoTrace,N
T,chess,Inner,1,24,Trace,T
N,chess,Inner,2,24,NoTrace,N
N,chess,Inner,3,24,NoTrace,N
N,chess,Inner,4,24,NoTrace,N
N,chess,Inner,5,24,Trace,T
N,chess,Inner,6,24,NoTrace,N
N,chess,Inner,7,24,NoTrace,N
N,chess,Inner,8,24,NoTrace,N
T,chess,Inner,1,26,Trace,T
N,chess,Inner,2,26,NoTrace,N
N,chess,Inner,3,26,NoTrace,N
N,chess,Inner,4,26,NoTrace,N
T,chess,Inner,5,26,Trace,T
N,chess,Inner,6,26,NoTrace,N
N,chess,Inner,7,26,NoTrace,N
N,chess,Inner,8,26,NoTrace,N
T,chess,Leaf,1,27,Trace,T
N,chess,Leaf,2,27,NoTrace,N
N,chess,Leaf,3,27,NoTrace,N
N,chess,Leaf,4,27,NoTrace,N
N,chess,Leaf,5,27,Trace,N
N,chess,Leaf,6,27,NoTrace,N
N,chess,Leaf,7,27,NoTrace,N
N,chess,Leaf,8,27,NoTrace,N
T,chess,Leaf,1,28,Trace,T
N,chess,Leaf,2,28,NoTrace,N
N,chess,Leaf,3,28,NoTrace,N
N,chess,Leaf,4,28,NoTrace,N
N,chess,Leaf,5,28,Trace,N
N,chess,Leaf,6,28,NoTrace,N
N,chess,Leaf,7,28,NoTrace,N
N,chess,Leaf,8,28,NoTrace,N
T,chess,Inner,1,29,Trace,U
N,chess,Inner,2,29,NoTrace,U
N,chess,Inner,3,29,NoTrace,U
N,chess,Inner,4,29,NoTrace,U
N,chess,Inner,5,29,Trace,U
N,chess,Inner,6,29,NoTrace,U
N,chess,Inner,7,29,NoTrace,U
N,chess,Inner,8,29,NoTrace,U
T,chess,Inner,1,30,Trace,T
N,chess,Inner,2,30,NoTrace,N
N,chess,Inner,3,30,NoTrace,N
N,chess,Inner,4,30,NoTrace,N
N,chess,Inner,5,30,Trace,T
N,chess,Inner,6,30,NoTrace,N
N,chess,Inner,7,30,NoTrace,N
N,chess,Inner,8,30,NoTrace,N
T,chess,Root,1,31,Trace,T
N,chess,Root,2,31,NoTrace,N
N,chess,Root,3,31,NoTrace,N
N,chess,Root,4,31,NoTrace,N
N,chess,Root,5,31,Trace,N
N,chess,Root,6,31,NoTrace,N
N,chess,Root,7,31,NoTrace,N
N,chess,Root,8,31,NoTrace,N
T,chess,Leaf,1,32,Trace,U
