ProgramName,MethodType,RequirementID,MethodID,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,pred,gold
1,2,11,4289,0,0,0,0,0,0,0,1,1,0,0,0,1,N,N
1,0,5,2204,0,1,0,0,0,0,0,1,0,0,1,0,0,N,N
1,1,1,2563,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,2,13,4585,0,0,0,0,0,0,0,1,1,0,1,1,0,N,N
1,1,17,4405,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,2,1,414,0,0,0,0,0,0,0,1,1,0,0,1,0,N,N
1,0,8,3820,0,0,1,0,0,1,0,1,0,0,0,1,1,N,N
1,2,13,744,0,0,0,0,0,0,0,1,0,0,1,0,0,N,N
1,2,17,2088,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
1,0,5,1171,0,1,0,0,1,0,0,1,0,0,1,0,0,N,N
2,0,8,912,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
1,1,7,2493,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
2,0,16,1121,0,0,1,0,0,0,0,1,0,0,0,1,0,N,N
2,0,34,3024,0,1,0,0,0,1,0,0,1,0,0,1,0,N,N
1,1,14,1314,0,1,0,0,1,1,0,0,0,0,0,0,0,N,N
1,0,10,1773,0,1,1,0,0,1,0,1,0,0,0,0,0,N,N
1,1,2,1318,0,1,1,0,1,0,0,0,0,0,0,0,0,N,N
1,2,6,4817,0,0,0,0,0,0,0,0,1,0,1,0,0,N,N
2,0,27,2953,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
1,1,16,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,1,2,4019,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,1,19,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,1,13,1613,0,0,1,0,1,1,0,0,0,0,0,0,0,N,N
3,2,19,381,0,0,0,0,0,0,0,1,1,0,0,1,0,N,N
0,1,7,36,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
1,1,16,2757,0,0,1,0,1,0,0,0,0,0,0,0,0,N,N
3,2,4,1573,0,0,0,0,0,0,0,1,1,0,1,1,0,N,N
3,0,20,2643,0,0,1,0,0,0,0,1,1,0,1,1,0,N,N
2,0,34,2978,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
1,0,11,3787,0,1,0,0,0,0,0,1,1,0,1,0,0,N,N
1,0,8,4834,0,1,0,0,1,1,0,0,1,0,0,0,0,N,N
2,0,27,4657,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
1,1,4,3175,0,1,0,0,1,0,0,0,0,0,0,0,0,N,N
2,0,11,2858,0,1,1,0,0,1,0,1,1,0,0,1,0,N,N
1,1,2,4171,0,0,0,0,0,0,0,0,0,0,0,0,1,N,N
1,1,4,2800,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
2,2,1,543,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
1,1,14,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
2,0,27,1029,0,0,1,0,0,0,1,1,1,0,0,1,1,T,T
3,0,12,2121,0,0,1,0,0,1,0,1,0,0,1,0,0,N,N
1,2,4,4723,0,0,0,0,0,0,0,1,0,0,0,1,0,N,N
1,0,14,3827,0,1,0,0,1,0,0,1,1,0,0,0,0,N,N
2,0,13,283,0,0,1,0,0,0,0,0,1,0,0,1,0,N,N
3,0,2,258,0,1,0,0,1,0,0,1,1,0,1,1,0,N,N
1,1,16,3118,0,1,1,0,1,0,0,0,0,0,0,0,0,N,N
2,0,23,2979,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
2,0,25,3000,0,1,1,0,1,1,0,0,1,0,0,1,1,N,N
3,0,2,1060,1,0,0,0,0,0,0,1,1,0,1,1,0,N,N
1,0,2,1335,0,1,1,0,1,1,0,1,0,0,1,0,0,N,N
3,0,9,1602,0,1,0,0,0,1,0,1,1,0,0,0,0,N,N
3,2,5,3184,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
1,0,4,164,0,0,1,0,0,0,0,0,1,0,0,1,0,N,N
2,0,20,2866,0,1,1,0,0,1,0,0,1,0,0,1,0,N,N
2,0,29,3021,0,1,1,0,0,1,0,0,1,0,0,1,1,N,N
1,1,3,3120,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
2,0,24,440,0,0,1,0,0,0,0,1,1,0,0,1,0,N,N
1,1,11,4064,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,2,3101,0,1,0,0,1,1,0,1,0,0,0,0,0,N,N
1,2,14,1265,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N
3,1,2,2109,0,0,1,0,1,0,0,0,0,0,0,0,0,N,N
3,2,6,2689,0,0,0,0,0,0,0,0,1,0,0,1,0,N,N
1,0,6,3157,0,0,1,0,0,0,0,0,1,0,0,0,0,N,N
1,1,1,4863,0,1,1,0,0,0,0,0,0,0,0,0,0,N,N
1,1,4,2854,0,0,1,0,0,1,0,0,0,0,0,0,0,N,N
1,1,2,4887,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
3,1,20,2634,0,1,1,0,0,1,0,0,0,0,0,0,0,N,N
